 aspect_ratio | width | height | iso_639_1 |            file_path             | vote_average | vote_count | movie_id | image_type 
        0.667 |  1000 |   1500 | en        | /rJZclvaXUWI1yPCtSvmhzOqwFRY.jpg |        5.312 |          1 |   102382 | poster
        0.667 |  1400 |   2100 | tr        | /82bZ816lXLqAVPp0wsvE5S2SuGu.jpg |        5.312 |          1 |   102382 | poster
        0.667 |  2000 |   3000 | it        | /i1EzxKxIZ07ETDh4O2P8kWHHLli.jpg |        5.312 |          1 |   102382 | poster
        0.667 |  1400 |   2100 | it        | /i2OO1tEUDpvtmjc7cwBRoTfc6yI.jpg |        5.312 |          1 |   102382 | poster
        0.667 |  1400 |   2100 | ja        | /eZRD7h4pXJAZ22xMHzohEzxG1VR.jpg |        5.312 |          1 |   102382 | poster
        0.667 |  2000 |   3000 | pt        | /qJifnqFgtflsPZ46OGvX3kFsq8h.jpg |        5.312 |          1 |   102382 | poster
        0.667 |  2000 |   3000 | he        | /kex5wWUTtsOSft6c8f2azt4Qtfe.jpg |        5.312 |          1 |   102382 | poster
        0.667 |   960 |   1440 | pt        | /p7c9COD7yESXAApv1GtTuftts19.jpg |        5.252 |          4 |   102382 | poster
        0.667 |  2000 |   3000 | pt        | /sKCaomyS92jS9GhEJbdAfzNaf7A.jpg |        5.252 |          4 |   102382 | poster
        0.667 |  2000 |   3000 | en        | /op0a1oqtQgmbkfzGgwnMIOk8QzC.jpg |        5.252 |          4 |   102382 | poster
        0.667 |  1000 |   1500 | pt        | /lDbcaBs1IdBZccCM1R417XmPxKF.jpg |        5.252 |          4 |   102382 | poster
        0.667 |  1000 |   1500 | ru        | /ga2TLjl45vSSBr3Sky0HANmbHkJ.jpg |        5.246 |          2 |   102382 | poster
        0.667 |  1000 |   1500 | he        | /89qhXEy4AoGRnV2TBuaLz35KJ5U.jpg |        5.246 |          2 |   102382 | poster
        0.666 |  1066 |   1600 | tr        | /tLBUwuFqkI6zZQXcEF4eLhNPmcy.jpg |        5.246 |          2 |   102382 | poster
        0.667 |  2000 |   3000 | it        | /rW6rUsekJfhWT8tBS9gDEDU0XKh.jpg |        5.246 |          2 |   102382 | poster
        0.667 |  2000 |   3000 | it        | /emoONtzmA88dxvcQqpymuN6ZYyS.jpg |        5.246 |          2 |   102382 | poster
        0.706 |  1496 |   2118 | de        | /thfXLxR4D7RKLmdqbfW3CFEr9TJ.jpg |        5.246 |          2 |   102382 | poster
        0.675 |  2000 |   2963 | pt        | /6VyN2MXajYyAc0IkxS8KXltMsTj.jpg |        5.246 |          2 |   102382 | poster
        0.675 |  2000 |   2963 | pt        | /vVfldCyhWVjnbdCrXAvYtcSvWaK.jpg |        5.246 |          2 |   102382 | poster
        0.703 |  1800 |   2561 | de        | /js5MmoQorhxn0q04ER0FQz7UW2H.jpg |        5.246 |          2 |   102382 | poster
